ID Site;179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nom Site;Switzerland - Lac Leman;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Modele;WG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heure mise a jour;17.07. 09:50 CEST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heures;Je17.08h;Je17.10h;Je17.12h;Je17.14h;Je17.16h;Je17.18h;Je17.20h;Je17.22h;Ve18.03h;Ve18.05h;Ve18.07h;Ve18.09h;Ve18.11h;Ve18.13h;Ve18.15h;Ve18.17h;Ve18.19h;Ve18.21h;Sa19.03h;Sa19.05h;Sa19.07h;Sa19.09h;Sa19.11h;Sa19.13h;Sa19.15h;Sa19.17h;Sa19.19h;Sa19.21h;Di20.03h;Di20.05h;Di20.07h;Di20.09h;Di20.11h;Di20.13h;Di20.15h;Di20.17h;Di20.19h;Lu21.05h;Lu21.07h;Lu21.09h;Lu21.11h;Lu21.13h;Lu21.15h;Lu21.17h;Lu21.19h;Ma22.05h;Ma22.07h;Ma22.09h;Ma22.11h;Ma22.13h;Ma22.15h;Ma22.17h;Ma22.19h;Me23.05h;Me23.08h;Me23.11h;Me23.14h;Me23.17h;Me23.20h;Je24.05h;Je24.08h;Je24.11h;Je24.14h;Je24.17h;Je24.20h;Ve25.05h;Ve25.08h;Ve25.11h;Ve25.14h;Ve25.17h;Ve25.20h;Sa26.05h;Sa26.08h;Sa26.11h;Sa26.14h;Sa26.17h;Sa26.20h;Di27.05h;Di27.08h;Di27.11h;Di27.14h;Di27.17h;Di27.20h;Lu28.05h;Lu28.08h;Lu28.11h;Lu28.14h;Lu28.17h;Lu28.20h;Ma29.05h;Ma29.08h;Ma29.11h;Ma29.14h;Ma29.17h;Ma29.20h;Me30.05h;Me30.08h;Me30.11h;Me30.14h;Me30.17h;Me30.20h;Je31.05h;Je31.08h;Je31.11h;Je31.14h;Je31.17h;Je31.20h;Ve1.05h;Ve1.08h;Ve1.11h;Ve1.14h;Ve1.17h;Ve1.20h
Vent (noeuds);4;3;4;3;3;4;9;11;11;11;9;8;4;4;3;3;4;5;8;5;6;6;6;10;6;9;6;5;6;5;3;3;3;4;6;5;4;4;5;6;9;11;14;16;16;12;6;5;4;4;3;3;7;2;3;8;7;8;4;2;2;3;3;4;3;4;3;3;4;3;5;2;3;3;3;3;3;3;2;1;3;3;1;4;5;9;10;10;6;2;2;1;3;3;9;2;2;1;5;7;5;2;2;2;2;9;1;2;5;3;3;3;6
Rafales (noeuds);5;5;6;5;5;6;12;15;14;15;13;11;8;5;5;5;5;7;12;8;9;10;12;21;12;14;20;8;9;8;5;5;5;7;9;7;7;7;8;11;14;18;21;24;23;18;8;8;7;6;5;6;8;6;7;14;15;16;11;6;5;7;6;6;4;4;3;5;5;4;5;3;3;4;5;5;5;3;3;2;4;4;1;4;5;9;12;11;7;2;2;1;5;8;7;3;2;4;5;5;4;3;2;4;8;20;2;2;4;3;4;5;4
Direction du vent (degres);539;202;275;296;312;277;198;185;182;181;186;189;213;326;293;276;227;215;540;526;527;524;433;412;428;376;448;467;529;530;530;534;294;291;282;262;358;292;423;395;347;406;419;414;421;408;425;404;436;414;374;361;430;484;450;413;408;423;403;471;469;474;477;498;486;478;467;293;237;232;219;454;433;397;310;311;195;180;538;321;293;296;411;427;416;411;439;447;455;507;532;448;329;333;415;452;454;350;281;265;259;491;517;390;328;457;509;457;529;272;328;468;232
Temperature (C);20;21;22;23;23;24;25;23;20;20;19;20;21;23;24;24;25;24;22;22;22;22;22;23;24;24;24;23;20;19;20;20;22;23;24;26;23;19;18;19;20;22;23;24;23;18;18;18;20;21;22;22;23;18;19;20;20;22;21;17;17;18;20;20;18;16;16;17;20;20;20;16;16;18;21;23;23;18;19;20;23;25;26;21;21;25;28;28;26;19;19;21;22;28;27;21;21;23;23;26;28;20;20;22;23;30;20;19;19;21;21;23;19
Nuages Haut (%);;7;;;;;;;65;91;42;9;;;44;49;69;49;55;38;22;32;85;91;90;91;43;14;56;55;88;84;82;33;28;39;71;78;84;65;60;;;;;;13;53;51;68;77;78;84;99;100;100;100;66;47;;;;;;;100;35;;;;;14;85;44;7;;;;;;;;;;94;;;;;;;;;;;;;;;;;29;18;35;;;;;5;16;49;72;66
Nuages Moyen (%);44;;;;;;;;;;13;9;;;9;27;47;69;23;6;16;22;54;91;58;55;68;60;7;19;59;37;31;42;13;27;80;99;90;80;80;31;10;15;24;18;74;72;45;51;35;71;45;26;89;97;92;46;;24;67;80;59;10;88;15;;;;;;;;;5;;;;;;;;;97;14;;;;;;;;;;;48;47;;5;5;;7;6;22;46;47;25;30;7;;28;64;86
Nuages Bas (%);70;29;20;;;;;;;;;;;;;;;;;;;;;;6;5;27;29;11;11;18;8;;;;;59;79;58;12;14;25;9;8;5;51;64;71;41;35;23;26;32;;;39;97;63;24;35;31;68;71;94;100;71;18;6;5;26;42;;;;;;59;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;14;99;32;53;9;15;91
Precipitations (mm/1h);;;;;;;;;;;;;;;;;;;;;;;;0.2;;0.1;2.6;0.3;;;;;;;;;0.6;3.1;3;1.6;1.6;0.2;;;;;;;;;;;;;;0.6;0.8;0.1;0.9;0.4;1;0.4;0.3;0.5;0.7;;;;;0.2;0.3;0.6;0.9;1.3;0.8;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;1.5
Note Windguru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

Modele;AROME 1.3km;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heure mise a jour;17.07. 09:50 CEST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heures;Je17.06h;Je17.07h;Je17.08h;Je17.09h;Je17.10h;Je17.11h;Je17.12h;Je17.13h;Je17.14h;Je17.15h;Je17.16h;Je17.17h;Je17.18h;Je17.19h;Je17.20h;Je17.21h;Je17.22h;Ve18.03h;Ve18.04h;Ve18.05h;Ve18.06h;Ve18.07h;Ve18.08h;Ve18.09h;Ve18.10h;Ve18.11h;Ve18.12h;Ve18.13h;Ve18.14h;Ve18.15h;Ve18.16h;Ve18.17h;Ve18.18h;Ve18.19h;Ve18.20h;Ve18.21h;Ve18.22h;Sa19.03h;Sa19.04h;Sa19.05h;Sa19.06h;Sa19.07h;Sa19.08h
Vent (noeuds);8;5;5;5;5;3;4;4;4;3;2;2;2;3;9;13;12;11;11;12;11;11;10;9;5;3;5;5;3;4;6;4;5;5;2;3;2;8;5;3;4;4;7
Rafales (noeuds);10;10;5;7;8;6;5;5;5;5;3;3;3;3;12;17;15;13;14;15;14;16;14;12;11;7;5;6;5;4;7;6;6;5;5;3;3;13;10;7;7;7;10
Direction du vent (degres);187;274;323;6;18;75;114;134;127;131;149;125;97;19;16;14;6;9;6;4;5;9;3;15;51;119;163;173;165;80;97;64;104;335;76;102;63;1;326;319;310;311;233
Temperature (C);21;21;20;21;21;21;21;21;22;22;22;23;23;22;24;23;23;20;20;20;20;19;20;20;20;20;21;22;22;22;22;23;23;23;23;23;24;23;23;23;22;22;22
Nuages Haut (%);;;;;;;;;;;;;;;;;;14;100;90;100;100;;;;;;;100;96;97;100;100;100;100;100;;100;100;;;29;100
Nuages Moyen (%);;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;16;13;31;100;100;100;97;;;;;;;
Nuages Bas (%);;16;97;27;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Precipitations (mm/1h);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Note Windguru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
